entity:pedigree_id	FamilyID	FatherID	MotherID	Population	Sex	Superpopulation
HG03640	PK51	0	0	PJL	2	SAS
HG03641	PK51	HG03639	HG03640	PJL	1	SAS
HG03642	ST006	0	0	STU	2	SAS
HG03643	ST004	0	0	STU	2	SAS
HG03644	ST004	0	0	STU	1	SAS
HG03645	ST002	0	0	STU	2	SAS
HG03646	ST001	0	0	STU	1	SAS
HG03649	PK52	0	0	PJL	1	SAS
HG03650	PK52	0	0	PJL	2	SAS
HG03651	PK52	HG03649	HG03650	PJL	1	SAS
HG03652	PK53	0	0	PJL	1	SAS
HG03653	PK53	0	0	PJL	2	SAS
HG03654	PK53	HG03652	HG03653	PJL	1	SAS
HG03660	PK55	0	0	PJL	1	SAS
HG03663	PK56	0	0	PJL	1	SAS
HG03667	PK58	0	0	PJL	1	SAS
HG03668	PK58	0	0	PJL	2	SAS
HG03669	PK58	HG03667	HG03668	PJL	2	SAS
HG03672	ST008	0	0	STU	1	SAS
HG03673	ST010	0	0	STU	2	SAS
HG03679	ST006	0	0	STU	1	SAS
HG03680	ST009	0	0	STU	1	SAS
HG03681	ST011	0	0	STU	1	SAS
HG03682	ST012	0	0	STU	1	SAS
HG03683	ST012	HG03682	HG03684	STU	2	SAS
HG03684	ST012	0	0	STU	2	SAS
HG03685	ST013	0	0	STU	1	SAS
HG03686	ST014	0	0	STU	1	SAS
HG03687	ST015	0	0	STU	1	SAS
HG03688	ST016	HG03885	HG03886	STU	1	SAS
HG03689	ST017	0	0	STU	2	SAS
HG03690	ST018	0	0	STU	2	SAS
HG03691	ST019	0	0	STU	1	SAS
HG03692	ST020	0	0	STU	2	SAS
HG03693	ST021	0	0	STU	1	SAS
HG03694	ST022	0	0	STU	1	SAS
HG03695	ST023	0	0	STU	1	SAS
HG03696	ST024	0	0	STU	1	SAS
HG03697	ST025	0	0	STU	1	SAS
HG03698	ST026	0	0	STU	2	SAS
HG03699	PK59	0	0	PJL	1	SAS
HG03700	PK59	0	0	PJL	2	SAS
HG03701	PK59	HG03699	HG03700	PJL	1	SAS
HG03702	PK60	0	0	PJL	1	SAS
HG03703	PK60	0	0	PJL	2	SAS
HG03704	PK60	HG03702	HG03703	PJL	2	SAS
HG03705	PK61	0	0	PJL	1	SAS
HG03706	PK61	0	0	PJL	2	SAS
HG03707	PK61	HG03705	HG03706	PJL	1	SAS
HG03708	PK62	0	0	PJL	1	SAS
HG03709	PK62	0	0	PJL	2	SAS
HG03710	PK62	HG03708	HG03709	PJL	1	SAS
HG03711	ST027	0	0	STU	1	SAS
HG03713	IT001	0	0	ITU	1	SAS
HG03714	IT009	0	0	ITU	2	SAS
HG03716	IT009	0	0	ITU	1	SAS
HG03717	IT010	0	0	ITU	2	SAS
HG03718	IT010	0	0	ITU	1	SAS
HG03719	IT002	HG03725	HG03722	ITU	2	SAS
HG03720	IT052	0	0	ITU	1	SAS
HG03721	IT003	0	0	ITU	2	SAS
HG03722	IT002	0	0	ITU	2	SAS
HG03725	IT002	0	0	ITU	1	SAS
HG03727	IT003	0	0	ITU	1	SAS
HG03729	IT013	0	0	ITU	1	SAS
HG03730	IT011	0	0	ITU	2	SAS
HG03731	IT013	0	0	ITU	2	SAS
HG03732	IT003	HG03727	HG03721	ITU	1	SAS
HG03733	ST041	0	0	STU	2	SAS
HG03736	ST043	0	0	STU	2	SAS
HG03738	ST044	0	0	STU	1	SAS
HG03740	ST038	0	0	STU	1	SAS
HG03741	ST038	0	0	STU	2	SAS
HG03742	IT015	0	0	ITU	1	SAS
HG03743	ST046	0	0	STU	1	SAS
HG03744	ST047	0	0	STU	1	SAS
HG03745	ST049	0	0	STU	1	SAS
