entity:pedigree_id Population Sex Superpopulation
HG01280 CLM 1 AMR
HG01281 CLM 2 AMR
HG01284 CLM 2 AMR
HG01286 PUR 1 AMR
HG01302 PUR 1 AMR
HG01303 PUR 2 AMR
HG01305 PUR 1 AMR
HG01308 PUR 1 AMR
HG01311 PUR 1 AMR
HG01312 PUR 2 AMR
HG01323 PUR 2 AMR
HG01325 PUR 1 AMR
HG01326 PUR 2 AMR
HG01334 GBR 1 EUR
HG01341 CLM 1 AMR
HG01342 CLM 2 AMR
HG01343 CLM 2 AMR
HG01344 CLM 1 AMR
HG01345 CLM 2 AMR
HG01346 CLM 2 AMR
HG01347 CLM 1 AMR
HG01348 CLM 2 AMR
HG01349 CLM 2 AMR
HG01350 CLM 1 AMR
HG01351 CLM 2 AMR
HG01352 CLM 2 AMR
HG01353 CLM 1 AMR
HG01354 CLM 2 AMR
HG01355 CLM 2 AMR
HG01356 CLM 1 AMR
HG01357 CLM 2 AMR
HG01358 CLM 1 AMR
HG01359 CLM 1 AMR
HG01360 CLM 2 AMR
HG01361 CLM 2 AMR
HG01362 CLM 1 AMR
HG01363 CLM 2 AMR
HG01365 CLM 1 AMR
HG01366 CLM 2 AMR
HG01367 CLM 2 AMR
HG01369 CLM 2 AMR
HG01372 CLM 2 AMR
HG01374 CLM 1 AMR
HG01375 CLM 2 AMR
HG01376 CLM 2 AMR
HG01377 CLM 1 AMR
HG01378 CLM 2 AMR
HG01379 CLM 2 AMR
HG01383 CLM 1 AMR
HG01384 CLM 2 AMR
HG01385 CLM 2 AMR
HG01389 CLM 1 AMR
HG01390 CLM 2 AMR
HG01391 CLM 2 AMR
HG01392 PUR 1 AMR
HG01393 PUR 2 AMR
HG01395 PUR 1 AMR
HG01396 PUR 2 AMR
HG01398 PUR 1 AMR
HG01402 PUR 1 AMR
HG01403 PUR 2 AMR
HG01405 PUR 1 AMR
HG01412 PUR 1 AMR
HG01413 PUR 1 AMR
HG01414 PUR 2 AMR
HG01431 CLM 1 AMR
HG01432 CLM 2 AMR
HG01433 CLM 1 AMR
HG01435 CLM 2 AMR
HG01437 CLM 1 AMR
HG01438 CLM 2 AMR
HG01439 CLM 2 AMR
HG01440 CLM 1 AMR
HG01441 CLM 2 AMR
HG01443 CLM 1 AMR
HG01444 CLM 2 AMR
HG01447 CLM 2 AMR
HG01455 CLM 1 AMR
HG01456 CLM 2 AMR
HG01457 CLM 1 AMR
HG01459 CLM 2 AMR
HG01461 CLM 1 AMR
HG01462 CLM 2 AMR
HG01463 CLM 2 AMR
HG01464 CLM 1 AMR
HG01465 CLM 2 AMR
HG01466 CLM 2 AMR
HG01468 CLM 2 AMR
HG01474 CLM 2 AMR
HG01479 CLM 1 AMR
HG01485 CLM 1 AMR
HG01486 CLM 2 AMR
HG01488 CLM 1 AMR
HG01489 CLM 2 AMR
HG01490 CLM 2 AMR
HG01491 CLM 1 AMR
HG01492 CLM 2 AMR
HG01493 CLM 2 AMR
HG01494 CLM 1 AMR
HG01495 CLM 2 AMR
HG01496 CLM 2 AMR
HG01497 CLM 1 AMR
HG01498 CLM 2 AMR
HG01499 CLM 1 AMR
HG01500 IBS 1 EUR
HG01501 IBS 2 EUR
HG01502 IBS 1 EUR
HG01503 IBS 1 EUR
HG01504 IBS 2 EUR
HG01505 IBS 1 EUR
HG01506 IBS 1 EUR
HG01507 IBS 2 EUR
HG01508 IBS 1 EUR
HG01509 IBS 1 EUR
HG01510 IBS 2 EUR
HG01511 IBS 2 EUR
HG01512 IBS 1 EUR
HG01513 IBS 2 EUR
HG01514 IBS 2 EUR
HG01515 IBS 1 EUR
HG01516 IBS 2 EUR
HG01517 IBS 2 EUR
HG01518 IBS 1 EUR
HG01519 IBS 2 EUR
HG01520 IBS 2 EUR
HG01521 IBS 1 EUR
HG01522 IBS 2 EUR
HG01523 IBS 1 EUR
HG01524 IBS 1 EUR
HG01525 IBS 2 EUR
HG01526 IBS 1 EUR
HG01527 IBS 1 EUR
HG01528 IBS 2 EUR
HG01529 IBS 1 EUR
HG01530 IBS 1 EUR
HG01531 IBS 2 EUR
HG01532 IBS 1 EUR
HG01536 IBS 1 EUR
HG01537 IBS 2 EUR
HG01538 IBS 2 EUR
HG01550 CLM 1 AMR
HG01551 CLM 2 AMR
HG01552 CLM 1 AMR
HG01556 CLM 1 AMR
HG01565 PEL 1 AMR
HG01566 PEL 2 AMR
HG01567 PEL 2 AMR
HG01571 PEL 1 AMR
HG01572 PEL 2 AMR
HG01573 PEL 2 AMR
HG01577 PEL 1 AMR
HG01578 PEL 2 AMR
HG01579 PEL 1 AMR
HG01583 PJL 1 SAS
HG01586 PJL 1 SAS
HG01589 PJL 1 SAS
HG01593 PJL 2 SAS
HG01595 KHV 2 EAS
HG01596 KHV 1 EAS
HG01597 KHV 2 EAS
HG01598 KHV 2 EAS
HG01599 KHV 2 EAS
HG01600 KHV 2 EAS
HG01601 IBS 1 EUR
HG01602 IBS 2 EUR
HG01603 IBS 1 EUR
HG01604 IBS 2 EUR
HG01605 IBS 2 EUR
HG01606 IBS 1 EUR
HG01607 IBS 2 EUR
HG01608 IBS 1 EUR
HG01609 IBS 1 EUR
HG01610 IBS 1 EUR
HG01611 IBS 1 EUR
HG01612 IBS 2 EUR
HG01613 IBS 2 EUR
HG01614 IBS 2 EUR
HG01615 IBS 1 EUR
HG01616 IBS 2 EUR
HG01617 IBS 1 EUR
HG01618 IBS 2 EUR
HG01619 IBS 1 EUR
HG01620 IBS 2 EUR
HG01621 IBS 1 EUR
HG01622 IBS 2 EUR
HG01623 IBS 2 EUR
HG01624 IBS 1 EUR
HG01625 IBS 1 EUR
HG01626 IBS 2 EUR
HG01627 IBS 1 EUR
HG01628 IBS 2 EUR
HG01629 IBS 1 EUR
HG01630 IBS 1 EUR
HG01631 IBS 1 EUR
HG01632 IBS 2 EUR
HG01633 IBS 1 EUR
HG01667 IBS 1 EUR
HG01668 IBS 2 EUR
HG01669 IBS 1 EUR
HG01670 IBS 2 EUR
HG01671 IBS 1 EUR
HG01672 IBS 1 EUR
HG01673 IBS 2 EUR
HG01674 IBS 1 EUR
HG01675 IBS 1 EUR
HG01676 IBS 2 EUR
HG01677 IBS 2 EUR
HG01678 IBS 1 EUR
HG01679 IBS 2 EUR
HG01680 IBS 1 EUR
HG01681 IBS 2 EUR
HG01682 IBS 1 EUR
HG01683 IBS 1 EUR
HG01684 IBS 2 EUR
HG01685 IBS 2 EUR
HG01686 IBS 1 EUR
HG01687 IBS 2 EUR
HG01694 IBS 1 EUR
HG01695 IBS 2 EUR
HG01696 IBS 1 EUR
HG01697 IBS 2 EUR
HG01698 IBS 1 EUR
HG01699 IBS 1 EUR
HG01700 IBS 1 EUR
HG01701 IBS 1 EUR
HG01702 IBS 2 EUR
HG01703 IBS 1 EUR
HG01704 IBS 2 EUR
HG01705 IBS 1 EUR
HG01706 IBS 2 EUR
HG01707 IBS 2 EUR
HG01708 IBS 1 EUR
HG01709 IBS 1 EUR
HG01710 IBS 2 EUR
HG01711 IBS 2 EUR
HG01746 IBS 2 EUR
HG01747 IBS 1 EUR
HG01748 IBS 1 EUR
HG01755 IBS 2 EUR
HG01756 IBS 1 EUR
HG01757 IBS 2 EUR
HG01761 IBS 1 EUR
HG01762 IBS 2 EUR
HG01763 IBS 2 EUR
HG01765 IBS 1 EUR
HG01766 IBS 2 EUR
HG01767 IBS 1 EUR
HG01768 IBS 2 EUR
HG01770 IBS 2 EUR
HG01771 IBS 1 EUR
HG01772 IBS 2 EUR
HG01773 IBS 2 EUR
HG01774 IBS 1 EUR
HG01775 IBS 1 EUR
HG01776 IBS 2 EUR
HG01777 IBS 1 EUR
HG01778 IBS 1 EUR
HG01779 IBS 2 EUR
HG01780 IBS 1 EUR
HG01781 IBS 1 EUR
HG01782 IBS 2 EUR
HG01783 IBS 1 EUR
HG01784 IBS 2 EUR
HG01785 IBS 1 EUR
HG01786 IBS 2 EUR
HG01789 GBR 1 EUR
HG01790 GBR 2 EUR
HG01791 GBR 1 EUR
HG01794 CDX 2 EAS
HG01795 CDX 2 EAS
HG01796 CDX 2 EAS
HG01797 CDX 2 EAS
HG01798 CDX 2 EAS
HG01799 CDX 2 EAS
HG01800 CDX 2 EAS
HG01801 CDX 2 EAS
HG01802 CDX 2 EAS
HG01804 CDX 2 EAS
HG01805 CDX 2 EAS
HG01806 CDX 2 EAS
HG01807 CDX 2 EAS
HG01808 CDX 2 EAS
HG01809 CDX 2 EAS
HG01810 CDX 1 EAS
HG01811 CDX 1 EAS
HG01812 CDX 2 EAS
HG01813 CDX 2 EAS
HG01815 CDX 2 EAS
HG01816 CDX 1 EAS
HG01817 CDX 2 EAS
HG01840 KHV 1 EAS
HG01841 KHV 2 EAS
HG01842 KHV 1 EAS
HG01843 KHV 2 EAS
HG01844 KHV 1 EAS
HG01845 KHV 2 EAS
HG01846 KHV 1 EAS
HG01847 KHV 2 EAS
HG01848 KHV 2 EAS
HG01849 KHV 1 EAS
HG01850 KHV 2 EAS
HG01851 KHV 2 EAS
HG01852 KHV 1 EAS
HG01853 KHV 2 EAS
HG01855 KHV 2 EAS
HG01857 KHV 2 EAS
HG01858 KHV 2 EAS
HG01859 KHV 2 EAS
HG01860 KHV 1 EAS
HG01861 KHV 1 EAS
HG01862 KHV 2 EAS
HG01863 KHV 2 EAS
HG01864 KHV 1 EAS
HG01865 KHV 1 EAS
HG01866 KHV 1 EAS
HG01867 KHV 1 EAS
HG01868 KHV 2 EAS
HG01869 KHV 2 EAS
HG01870 KHV 2 EAS
HG01871 KHV 2 EAS
HG01872 KHV 1 EAS
HG01873 KHV 1 EAS
HG01874 KHV 2 EAS
HG01878 KHV 2 EAS
HG01879 ACB 1 AFR
HG01880 ACB 2 AFR
HG01881 ACB 2 AFR
HG01882 ACB 1 AFR
HG01883 ACB 2 AFR
HG01884 ACB 2 AFR
HG01885 ACB 1 AFR
HG01886 ACB 2 AFR
HG01887 ACB 1 AFR
HG01888 ACB 1 AFR
HG01889 ACB 2 AFR
HG01890 ACB 1 AFR
HG01891 ACB 2 AFR
HG01892 PEL 1 AMR
HG01893 PEL 2 AMR
HG01894 ACB 2 AFR
HG01895 ACB 1 AFR
HG01896 ACB 2 AFR
HG01897 ACB 1 AFR
HG01898 PEL 2 AMR
HG01912 ACB 1 AFR
HG01914 ACB 1 AFR
HG01915 ACB 2 AFR
HG01916 ACB 2 AFR
HG01917 PEL 1 AMR
HG01918 PEL 2 AMR
HG01919 PEL 2 AMR
HG01920 PEL 1 AMR
HG01921 PEL 2 AMR
HG01922 PEL 2 AMR
HG01923 PEL 1 AMR
HG01924 PEL 2 AMR
HG01925 PEL 2 AMR
HG01926 PEL 1 AMR
HG01927 PEL 2 AMR
HG01928 PEL 1 AMR
HG01932 PEL 1 AMR
HG01933 PEL 2 AMR
HG01934 PEL 1 AMR
HG01935 PEL 1 AMR
HG01936 PEL 2 AMR
HG01937 PEL 1 AMR
HG01938 PEL 1 AMR
HG01939 PEL 2 AMR
HG01940 PEL 2 AMR
HG01941 PEL 1 AMR
HG01942 PEL 2 AMR
HG01943 PEL 1 AMR
HG01944 PEL 1 AMR
HG01945 PEL 2 AMR
HG01946 PEL 1 AMR
HG01947 PEL 1 AMR
HG01948 PEL 2 AMR
HG01949 PEL 2 AMR
HG01950 PEL 1 AMR
HG01951 PEL 2 AMR
HG01952 PEL 1 AMR
HG01953 PEL 1 AMR
HG01954 PEL 2 AMR
HG01955 PEL 2 AMR
HG01956 ACB 2 AFR
HG01958 ACB 2 AFR
HG01959 ACB 2 AFR
HG01960 ACB 2 AFR
HG01961 PEL 1 AMR
HG01965 PEL 2 AMR
HG01967 PEL 1 AMR
HG01968 PEL 2 AMR
HG01969 PEL 2 AMR
HG01970 PEL 1 AMR
HG01971 PEL 2 AMR
HG01972 PEL 2 AMR
HG01973 PEL 2 AMR
HG01974 PEL 1 AMR
HG01975 PEL 2 AMR
HG01976 PEL 2 AMR
